Niche 312,Dance Clubs,Battery Park,55 Irving Pl,NY,2
Drunk Shakespeare,Performing Arts,Greenpoint,"445 Albee Square WBrooklyn, NY 11201",NY,2
Cave Restaurant,Lounges,SoHo,"660 Fulton StBrooklyn, NY 11217",NY,1
Jazz at Lincoln Center - The Appel Room,Music Venues,Murray Hill,"53-22 Roosevelt AveWoodside, NY 11377",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Washington Heights,Unknown,NY,3
The Living Room II,Dance Clubs,Alphabet City,"955 W End AveNew York, NY 10025",NY,2
Monkey Room,Latin American,Gramercy,"22 Boerum PlBrooklyn, NY 11201",NY,1
The Holler,Cocktail Bars,,"255 Douglass StBrooklyn, NY 11217",NY,2
BlackTail,Cuban,Downtown Brooklyn,"275 94th StBrooklyn, NY 11209",NY,2
The Drift,Dive Bars,Fort Greene,"76-19 Roosevelt AveJackson Heights, NY 11372",NY,2
